"CODES NC
2020";LIBELLES AUTOSUFFISANTS NC 2020 (fichier DSECE);"CREATIONS (1)
MODIFICATIONS (2)"
2914 79 00;Dérivés halogénés, sulfonés, nitrés ou nitrosés des cétones ou des quinones (à l’exclusion du chlordécone «ISO» et des composés inorganiques ou organiques du mercure);
2915;"Acides monocarboxyliques acycliques saturés et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés";
2915 11 00;Acide formique;
2915 12 00;Sels de l'acide formique;
2915 13 00;Esters de l'acide formique;
2915 21 00;Acide acétique;
2915 24 00;Anhydride acétique;
2915 29 00;Sels de l'acide acétique (à l'excl. des composés inorganiques ou organiques du mercure);
2915 31 00;Acétate d'éthyle;
2915 32 00;Acétate de vinyle;
2915 33 00;Acétate de n-butyle;
2915 36 00;Acétate de dinosèbe [ISO];
2915 39 00;Esters de l'acide acétique (à l'excl. des acétates d'éthyle, de vinyle, de n-butyle et de dinosèbe [ISO]);
2915 40 00;Acides mono-, di- ou trichloroacétiques, leurs sels et leurs esters;
2915 50 00;Acide propionique, ses sels et ses esters;
2915 60;Acides butanoïques, acides pentanoïques, leurs sels et leurs esters;
2915 60 11;Diisobutyrate de 1-isopropyl-2,2-diméthyltriméthylène;
2915 60 19;Acides butanoïques, leurs sels et leurs esters (à l'excl. du diisobutyrate de 1-isopropyl-2,2-diméthyltriméthylène);
2915 60 90;Acides pentanoïques, leurs sels et leurs esters;
2915 70;Acide palmitique, acide stéarique, leurs sels et leurs esters;
2915 70 40;Acide palmitique, ses sels et ses esters;
2915 70 50;Acide stéarique, ses sels et ses esters;
2915 90;Acides monocarboxyliques acycliques saturés, anhydrides, halogénures, peroxydes, peroxyacides et dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des acides formique, acétique, mono- ou trichloroacétiques, propionique, butanoïques, pentanoïques, palmitique ou stéarique et des sels et esters de ces produits ainsi qu'à l'excl. de l'anhydride acétique);
2915 90 30;Acide laurique, ses sels et ses esters;
2915 90 70;"Acides monocarboxyliques acycliques saturés, leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’excl. des acides formique, acétique, mono-, di- ou trichloroacétiques, propionique, butanoïques, pentanoïques, palmitique, stéarique et laurique et de leurs sels et esters et de l'anhydride acétique)";
2916;"Acides monocarboxyliques acycliques non saturés et acides monocarboxyliques cycliques, leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés";
2916 11 00;Acide acrylique et ses sels;
2916 12 00;Esters de l'acide acrylique;
2916 13 00;Acide méthacrylique et ses sels;
2916 14 00;Esters de l'acide méthacrylique;
2916 15 00;Acides oléique, linoléique ou linolénique, leurs sels et leurs esters (à l'excl. des composés inorganiques ou organiques du mercure);
2916 16 00;Binapacryl (ISO);
2916 19;Acides monocarboxyliques acycliques non saturés, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des acides acrylique, méthacrylique, oléique, linoléique ou linolénique ainsi que de leurs sels et esters et du binapacryl (ISO));
2916 19 10;Acides undécénoïques, leurs sels et leurs esters;
2916 19 40;Acide crotonique;
2916 19 95;Acides monocarboxyliques acycliques non saturés, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des acides acrylique, méthacrylique, oléique, linoléique, linolénique ou undécénoïques et des sels et esters de ces produits ainsi qu'à l'excl. de l'acide crotonique et du binapacryl [ISO]);
2916 20 00;Acides monocarboxyliques cyclaniques, cycléniques ou cycloterpéniques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des composés inorganiques ou organiques du mercure);
2916 31 00;Acide benzoïque, ses sels et ses esters (à l'excl. des composés inorganiques ou organiques du mercure);
2916 32 00;Peroxyde de benzoyle et chlorure de benzoyle;
2916 34 00;Acide phénylacétique et ses sels;
2916 39;Acides monocarboxyliques aromatiques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. de l'acide benzoïque, ses sels et ses esters, du peroxyde de benzoyle et chlorure de benzoyle, de l'acide phénylacétique et ses sels ainsi que des composés inorganiques ou organiques du mercure, de constitution chimique définie ou non);
2916 39 10;Esters de l'acide phénylacétique;
2916 39 90;Acides monocarboxyliques aromatiques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. de l'acide benzoïque, ses sels et ses esters, du peroxyde de benzoyle et chlorure de benzoyle, du binapacryl (ISO), de l'acide phénylacétique et ses sels et esters ainsi que des composés inorganiques ou organiques du mercure, de constitution chimique définie ou non);
2917;"Acides polycarboxyliques, leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés";
2917 11 00;Acide oxalique, ses sels et ses esters (à l'excl. des composés inorganiques ou organiques du mercure);
2917 12 00;Acide adipique, ses sels et ses esters;
2917 13;Acide azélaïque, acide sébacique, leurs sels et leurs esters;
2917 13 10;Acide sébacique;
2917 13 90;Acide azélaïque, leurs sels et leurs esters ainsi que les sels et esters de l'acide sébacique;
2917 14 00;Anhydride maléique;
2917 19;Acides polycarboxyliques acycliques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des acides oxalique, adipique, azélaïque ou sébacique et des sels et esters de ces acides, de l'anhydride maléique ainsi que des composés inorganiques ou organiques du mercure);
2917 19 10;Acide malonique, ses sels et ses esters;
2917 19 20;Acide 1,2-dicarboxylique-éthane et acide butanedioïque [acide succinique] d'une teneur en carbone provenant de matériaux biologiques de 100 % en masse;
2917 19 80;Acides polycarboxyliques acycliques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des acides oxalique, adipique, azélaïque, sébacique et malonique, ainsi que de leurs sels et de leurs esters, de l'anhydride maléique, des composés inorganiques et organiques du mercure ainsi que de l'acide 1,2-dicarboxylique-éthane et de l'acide butanedioïque (acide succinique) d'une teneur en carbone provenant de matériaux biologiques de 100 % en masse);
2917 20 00;Acides polycarboxyliques cyclaniques, cycléniques ou cycloterpéniques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés;
2917 32 00;Orthophtalates de dioctyle;
2917 33 00;Orthophtalates de dinonyle ou de didécyle;
2917 34 00;Esters de l'acide orthophtalique (à l'excl. des orthophtalates de dioctyle, de dinonyle ou de didécyle);
2917 35 00;Anhydride phtalique;
2917 36 00;Acide téréphtalique et ses sels;
2917 37 00;Téréphtalate de diméthyle;
2917 39;Acides polycarboxyliques aromatiques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des esters de l'acide orthophtalique, de l'anhydride phtalique, de l'acide téréphtalique et ses sels ainsi que du téréphtalate de diméthyle);
2917 39 20;"Ester ou anhydride de l'acide tétrabromophtalique; acide benzène-1,2,4-tricarboxylique; dichlorure d'isophtaloyle, contenant en poids 0,8 % ou moins de dichlorure de téréphtaloyle; acide naphtalène-1,4,5,8-tétracarboxylique; anhydride tétrachlorophtalique; 3,5-bis(méthoxycarbonyl)benzènesulfonate de sodium";
2917 39 95;Acides polycarboxyliques aromatiques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. d'ester ou anhydride de l'acide tétrabromophtalique, des esters de l'acide orthophtalique, de l'anhydride phtalique, de l'acide téréphtalique et ses sels, du téréphtalate de diméthyle, de l'acide benzène-1,2,4-tricarboxylique, du dichlorure d'isophtaloyle contenant en poids <= 0,8% de dichlorure de téréphtaloyle, de l'acide naphtalène-1,4,5,8-tétracarboxylique, de l'anhydride tétrachlorophtalique et du 3,5-bis[méthoxycarbonyl]benzènesulfonate de sodium);
2918;"Acides carboxyliques contenant des fonctions oxygénées supplémentaires et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés";
2918 11 00;Acide lactique, ses sels et ses esters (à l’exclusion des composés inorganiques ou organiques du mercure);
2918 12 00;Acide tartrique;
2918 13 00;Sels et esters de l’acide tartrique;
2918 14 00;Acide citrique;
2918 15 00;Sels et esters de l’acide citrique (à l’exclusion des composés inorganiques ou organiques du mercure);
2918 16 00;Acide gluconique, ses sels et ses esters;
2918 17 00;Acide 2,2-diphényl-2-hydroxyacétique «acide benzilique»;
2918 18 00;Chlorobenzilate «ISO»;
2918 19;"Acides carboxyliques contenant des fonctions oxygénées supplémentaires et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion des acides lactique, tartrique, citrique et gluconique, des sels et esters de ces produits, ainsi que du chlorobenzilate (ISO)]";
2918 19 30;Acide cholique, acide 3-alpha, 12-alpha-dihydroxy-5-beta-cholane-24-oïque «acide désoxycholique», leurs sels et leurs esters;
2918 19 40;Acide 2,2-bis«hydroxyméthyl»propionique;
2918 19 98;"Acides carboxyliques à fonction alcool mais sans autre fonction oxygénée et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion des acides lactique, tartrique, citrique, gluconique, cholique, 3-alpha, 12-alpha -dihydroxy-5-beta-cholane-24-oïque «acide désoxycholique», des sels et esters de ces produits, de l’acide 2,2-bis«hydroxyméthyl»propionique ainsi que du chlorobenzilate (ISO) et de l’acide 2,2-diphényl-2-hydroxyacétique «acide benzilique»]";
2918 21 00;Acide salicylique et ses sels (à l’exclusion des composés inorganiques ou organiques du mercure);
2918 22 00;Acide o-acétylsalicylique, ses sels et ses esters;
2918 23 00;Esters de l’acide salicylique et leurs sels (à l’exclusion de l’acide o-acétylsalicylique, ses sels et ses esters);
2918 29 00;Acides carboxyliques à fonction phénol mais sans autre fonction oxygénée, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des acides salicylique et o-acétylsalicylique ainsi que des sels et esters de ces produits);
2918 30 00;Acides carboxyliques à fonction aldéhyde ou cétone mais sans autre fonction oxygénée, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;
2918 91 00;2,4,5-T «ISO» «acide 2,4,5-trichlorophénoxyacétique», ses sels et ses esters;
2918 99;"Acides carboxyliques contenant des fonctions oxygénées supplémentaires et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion des acides contenant uniquement la fonction alcool, phénol, aldéhyde ou cétone ainsi que du 2,4,5-T (ISO) (acide 2,4,5-trichlorophénoxyacétique), ses sels et esters]";
2918 99 40;"Acide 2,6-diméthoxybenzoïque; dicamba (ISO); phénoxyacétate de sodium";
2918 99 90;Acides carboxyliques contenant des fonctions oxygénées supplémentaires, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion des acides contenant uniquement la fonction alcool, phénol, aldéhyde ou cétone ainsi que de l’acide 2,6-diméthoxybenzoïque, du dicamba (ISO), du phénoxyacétate de sodium et du 2,4,5-T (ISO) (acide 2,4,5-trichlorophénoxyacétique), ses sels et esters];
2919;"Esters phosphoriques et leurs sels, y.c. les lactophosphates; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés";
2919 10 00;Phosphate de tris(2,3-dibromopropyle);
2919 90 00;"Esters phosphoriques et leurs sels, y.c. les lactophosphates; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l'excl. du phosphate de tris(2,3-dibromopropyle)]";
2920;"Esters des acides inorganiques des non-métaux et leurs sels; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des esters des halogénures d’hydrogène et des esters phosphoriques, de leurs sels et de leurs dérivés halogénés, sulfonés, nitrés ou nitrosés)";
2920 11 00;Parathion «ISO» et parathion-méthyle «ISO» «méthyle parathion»;
2920 19 00;"Esters thiophosphoriques «phosphorothioates» et leurs sels; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion du parathion (ISO) et du parathion-méthyle (ISO) (méthyle parathion)]";
2920 21 00;Phosphite de diméthyle;
2920 22 00;Phosphite de diéthyle;
2920 23 00;Phosphite de triméthyle;
2920 24 00;Phosphite de triéthyle;
2920 29 00;Esters des phosphites et leurs sels leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des phosphites de diméthyle, de diéthyle, de triméthyle et de triéthyle);
2920 30 00;Endosulfan «ISO»;
2920 90;"Esters des acides inorganiques des non-métaux et leurs sels; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des esters des halogénures d’hydrogène, des esters phosphoriques, des esters de phosphites et des esters thiophosphoriques «phosphorothioates», de leurs sels et de leurs dérivés halogénés, sulfonés, nitrés ou nitrosés, ainsi que de l’endosulfan «ISO» et des composés inorganiques ou organiques du mercure)";
2920 90 10;"Esters sulfuriques et esters carboniques; leurs sels et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des composés inorganiques ou organiques du mercure)";
2920 90 70;"Esters des acides inorganiques des non-métaux et leurs sels; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des esters des halogénures d’hydrogène, des esters phosphoriques, des esters de phosphites, des esters sulfuriques, des esters carboniques et des esters thiophosphoriques «phosphorothioates», de leurs sels et de leurs dérivés halogénés, sulfonés, nitrés ou nitrosés, ainsi que de l’endosulfan «ISO»)";
2921;Composés à fonction amine;
2921 11 00;Mono-, di- ou triméthylamine et leurs sels;
2921 12 00;Chlorhydrate de 2-chloroéthyl «N,N-diméthylamine»;
2921 13 00;Chlorhydrate de 2-chloroéthyl «N,N-diéthylamine»;
2921 14 00;Chlorhydrate de 2-chloroéthyl «N,N-diisopropylamine»;
2921 19;"Monoamines acycliques et leurs dérivés; sels de ces produits (à l'excl. de la mono-, di- ou triméthylamine et des sels de ces produits)";
2921 19 40;1,1,3,3-Tétraméthylbutylamine;
2921 19 50;Diéthylamine et ses sels;
2921 19 99;"Monoamines acycliques et leurs dérivés; sels de ces produits (à l'excl. de la mono-, di- ou triméthylamine, de la diéthylamine, et des sels de ces produits ainsi que du 1,1,3,3-tétraméthylbutylamine), chlorhydrate de chlorure de 2-(N,N-diéthylamino)éthyle; chlorhydrate de chlorure de 2-(N,N-diisopropylamino)éthyle et du 2-(N,N-diméthylamino)éthyle";
2921 21 00;Éthylènediamine et ses sels;
2921 22 00;Hexaméthylènediamine et ses sels;
2921 29 00;"Polyamines acycliques et leurs dérivés; sels de ces produits (à l'excl. de l'éthylènediamine, de l'hexaméthylènediamine et des sels de ces produits)";
2921 30;"Monoamines et polyamines cyclaniques, cycléniques ou cycloterpéniques, et leurs dérivés; sels de ces produits";
2921 30 10;Cyclohexylamine, cyclohexyldiméthylamine, et leurs sels;
2921 30 91;Cyclohex-1,3-ylènediamine [1,3-diaminocyclohexane];
2921 30 99;"Monoamines et polyamines cyclaniques, cycléniques ou cycloterpéniques, et leurs dérivés; sels de ces produits (à l'excl. de la cyclohexylamine, de la cyclohexyldiméthylamine et des sels de ces produits ainsi que du cyclohex-1,3-ylènediamine [1,3-diaminocyclohexane])";
